epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,351.913,0.41204,0.32482,0.95318,0.99939,0.99476,0.995,0.95234,0.32183,0.25689,0.85977,0.0014456,0.0014456,0.0014456
44,359.845,0.39306,0.30598,0.9474,0.98409,1,0.99388,0.95901,0.30213,0.2393,0.8539,0.0014324,0.0014324,0.0014324
45,367.804,0.40601,0.32983,0.95407,0.99446,1,0.99422,0.96459,0.29247,0.23379,0.84285,0.0014192,0.0014192,0.0014192
46,375.822,0.39456,0.31444,0.94362,0.99954,1,0.995,0.95648,0.32052,0.24387,0.86207,0.001406,0.001406,0.001406
47,384.176,0.39506,0.31698,0.94332,0.98417,1,0.99469,0.95895,0.28986,0.23534,0.83694,0.0013928,0.0013928,0.0013928
48,392.252,0.38358,0.31227,0.93728,0.99391,1,0.9949,0.96507,0.30693,0.24072,0.84461,0.0013796,0.0013796,0.0013796
49,400.377,0.41455,0.32427,0.95582,0.98922,1,0.99495,0.96287,0.31253,0.23723,0.84235,0.0013664,0.0013664,0.0013664
50,408.54,0.38102,0.30762,0.94731,0.99319,1,0.99474,0.96023,0.30767,0.23287,0.85163,0.0013532,0.0013532,0.0013532
51,416.895,0.39161,0.30961,0.93646,0.99436,1,0.995,0.96997,0.27461,0.22385,0.8244,0.00134,0.00134,0.00134
52,425.075,0.37669,0.29547,0.92186,0.98933,1,0.99479,0.96668,0.28558,0.22042,0.83527,0.0013268,0.0013268,0.0013268
53,433.143,0.37585,0.29582,0.9293,0.99907,1,0.995,0.97952,0.26754,0.21574,0.82723,0.0013136,0.0013136,0.0013136
54,441.248,0.35561,0.28864,0.92245,0.99404,1,0.995,0.97369,0.26156,0.20849,0.82269,0.0013004,0.0013004,0.0013004
55,449.515,0.36025,0.28712,0.92776,0.99606,1,0.995,0.96636,0.28977,0.21471,0.83463,0.0012872,0.0012872,0.0012872
56,457.477,0.38006,0.3022,0.94212,0.9986,1,0.995,0.96614,0.2754,0.21377,0.82183,0.001274,0.001274,0.001274
57,465.455,0.38671,0.30339,0.94073,0.9996,1,0.995,0.96883,0.26408,0.20451,0.81931,0.0012608,0.0012608,0.0012608
58,473.358,0.37571,0.30462,0.93475,0.99957,1,0.995,0.96522,0.26922,0.22085,0.82551,0.0012476,0.0012476,0.0012476
59,481.424,0.34967,0.2824,0.91802,0.9943,1,0.99469,0.97234,0.2703,0.21085,0.82702,0.0012344,0.0012344,0.0012344
60,489.346,0.33934,0.28168,0.91759,0.99907,1,0.995,0.97671,0.24599,0.19198,0.81197,0.0012212,0.0012212,0.0012212
61,497.275,0.35694,0.28843,0.92121,0.99429,1,0.9949,0.97535,0.2715,0.21139,0.82365,0.001208,0.001208,0.001208
62,505.259,0.35796,0.28268,0.93124,0.99903,1,0.995,0.9701,0.28065,0.21166,0.83589,0.0011948,0.0011948,0.0011948
63,513.531,0.34285,0.26949,0.92883,0.99948,1,0.995,0.97244,0.25996,0.1954,0.83096,0.0011816,0.0011816,0.0011816
64,521.537,0.35242,0.27905,0.92588,0.99396,1,0.995,0.97705,0.24199,0.20588,0.81267,0.0011684,0.0011684,0.0011684
65,529.534,0.3413,0.2709,0.91171,0.99476,0.99415,0.99495,0.97748,0.24354,0.18755,0.82457,0.0011552,0.0011552,0.0011552
66,537.664,0.33288,0.26375,0.92656,1,0.99946,0.995,0.97785,0.24916,0.19512,0.82274,0.001142,0.001142,0.001142
67,545.95,0.34558,0.27305,0.91508,0.99965,1,0.995,0.97711,0.23143,0.18779,0.8146,0.0011288,0.0011288,0.0011288
68,554.044,0.34147,0.27842,0.92518,0.99969,1,0.995,0.97331,0.24912,0.19727,0.8226,0.0011156,0.0011156,0.0011156
69,562.266,0.33596,0.26828,0.91794,0.99955,1,0.995,0.97789,0.25476,0.19171,0.82432,0.0011024,0.0011024,0.0011024
70,570.331,0.33979,0.27348,0.91495,0.99968,1,0.995,0.9789,0.23495,0.18126,0.81774,0.0010892,0.0010892,0.0010892
71,578.446,0.33393,0.2647,0.91765,0.9945,1,0.99495,0.97879,0.25558,0.18962,0.81429,0.001076,0.001076,0.001076
72,586.332,0.3327,0.26817,0.92299,0.99964,1,0.995,0.98359,0.22025,0.17236,0.79838,0.0010628,0.0010628,0.0010628
73,594.282,0.31065,0.24801,0.90317,0.99964,1,0.995,0.98407,0.22865,0.1779,0.80474,0.0010496,0.0010496,0.0010496
74,602.156,0.32207,0.25116,0.91449,0.99969,1,0.995,0.98111,0.2322,0.16586,0.80371,0.0010364,0.0010364,0.0010364
75,610.37,0.33267,0.25517,0.90696,0.99969,1,0.995,0.98059,0.2337,0.17927,0.80734,0.0010232,0.0010232,0.0010232
76,618.298,0.33094,0.25703,0.91805,0.99968,1,0.995,0.98162,0.22223,0.17385,0.79854,0.00101,0.00101,0.00101
77,626.28,0.32154,0.26552,0.91038,0.99816,1,0.995,0.97218,0.25197,0.19582,0.8247,0.0009968,0.0009968,0.0009968
78,634.21,0.31819,0.25063,0.90329,0.99961,1,0.995,0.97945,0.23933,0.18467,0.81136,0.0009836,0.0009836,0.0009836
79,642.303,0.32923,0.26386,0.90859,0.99981,1,0.995,0.97851,0.2404,0.18891,0.8056,0.0009704,0.0009704,0.0009704
80,650.187,0.31703,0.2589,0.90866,0.994,1,0.995,0.98044,0.23325,0.18166,0.81472,0.0009572,0.0009572,0.0009572
81,658.113,0.31202,0.25664,0.91072,0.99368,0.99476,0.995,0.97714,0.24876,0.18285,0.82605,0.000944,0.000944,0.000944
82,666.034,0.30094,0.23457,0.91195,0.99383,1,0.99495,0.97761,0.2541,0.18977,0.82474,0.0009308,0.0009308,0.0009308
83,674.169,0.30386,0.24026,0.89733,0.99967,1,0.995,0.98012,0.23411,0.18789,0.81282,0.0009176,0.0009176,0.0009176
84,682.09,0.30719,0.24474,0.90849,1,0.99896,0.995,0.97921,0.24618,0.18575,0.83099,0.0009044,0.0009044,0.0009044
85,690.032,0.30093,0.24305,0.90268,1,0.99888,0.995,0.97758,0.23951,0.1838,0.81397,0.0008912,0.0008912,0.0008912
86,697.95,0.29635,0.24281,0.91209,1,0.99988,0.995,0.98126,0.22709,0.17347,0.81046,0.000878,0.000878,0.000878
87,706.037,0.29564,0.24084,0.90219,0.99954,1,0.995,0.97987,0.2213,0.17219,0.80468,0.0008648,0.0008648,0.0008648
88,713.982,0.30348,0.24835,0.91101,1,0.9983,0.995,0.98172,0.23743,0.17172,0.81322,0.0008516,0.0008516,0.0008516
89,721.919,0.29703,0.24432,0.901,0.99972,1,0.995,0.98168,0.22283,0.16528,0.80588,0.0008384,0.0008384,0.0008384
90,729.904,0.30954,0.2448,0.90431,1,0.99841,0.995,0.98358,0.22925,0.16829,0.80883,0.0008252,0.0008252,0.0008252
91,737.999,0.29014,0.23413,0.90235,0.99969,1,0.995,0.98116,0.22853,0.16456,0.81491,0.000812,0.000812,0.000812
92,745.994,0.2819,0.22611,0.89628,0.99963,1,0.995,0.98275,0.21054,0.15864,0.79785,0.0007988,0.0007988,0.0007988
93,754.028,0.2839,0.23317,0.89386,0.99968,1,0.995,0.98184,0.21617,0.1671,0.79877,0.0007856,0.0007856,0.0007856
94,761.963,0.28287,0.22475,0.89642,0.99971,1,0.995,0.9832,0.20458,0.15604,0.79031,0.0007724,0.0007724,0.0007724
95,770.114,0.28913,0.2324,0.90041,0.99964,1,0.995,0.9828,0.22348,0.16668,0.80618,0.0007592,0.0007592,0.0007592
96,778.044,0.3022,0.24044,0.90866,0.99971,1,0.995,0.98092,0.21754,0.16753,0.8031,0.000746,0.000746,0.000746
97,786.002,0.28996,0.23035,0.89402,0.99967,1,0.995,0.97902,0.21376,0.1693,0.80036,0.0007328,0.0007328,0.0007328
98,793.96,0.2727,0.22182,0.8936,0.98901,1,0.99484,0.97803,0.21569,0.17466,0.79728,0.0007196,0.0007196,0.0007196
99,802.099,0.28528,0.22333,0.89939,0.99961,1,0.995,0.98128,0.21136,0.16821,0.79836,0.0007064,0.0007064,0.0007064
100,810.068,0.30236,0.23191,0.903,0.99953,1,0.995,0.98324,0.21002,0.16058,0.80459,0.0006932,0.0006932,0.0006932
101,817.982,0.27506,0.22048,0.89369,0.99962,1,0.995,0.9798,0.21768,0.16066,0.79859,0.00068,0.00068,0.00068
102,825.908,0.26722,0.22058,0.89405,0.99969,1,0.995,0.98588,0.2115,0.16139,0.79844,0.0006668,0.0006668,0.0006668
103,834.065,0.2708,0.22702,0.89182,0.99447,1,0.995,0.98564,0.2009,0.15839,0.79425,0.0006536,0.0006536,0.0006536
104,841.924,0.27302,0.22401,0.9008,0.99981,1,0.995,0.98693,0.20556,0.1604,0.79118,0.0006404,0.0006404,0.0006404
105,849.883,0.28505,0.22798,0.89938,0.99914,1,0.995,0.97946,0.23255,0.16565,0.81125,0.0006272,0.0006272,0.0006272
106,857.9,0.27035,0.22047,0.89191,1,0.99324,0.995,0.98165,0.21913,0.16843,0.80524,0.000614,0.000614,0.000614
107,866.059,0.27288,0.22306,0.89861,1,0.99946,0.995,0.98078,0.20912,0.15793,0.79951,0.0006008,0.0006008,0.0006008
108,874.247,0.27103,0.21492,0.89571,0.99968,1,0.995,0.98081,0.19287,0.15224,0.79109,0.0005876,0.0005876,0.0005876
109,882.14,0.27401,0.21819,0.89445,0.99971,1,0.995,0.98171,0.19544,0.15014,0.79098,0.0005744,0.0005744,0.0005744
110,890.114,0.26673,0.21274,0.88476,0.99966,1,0.995,0.98233,0.20177,0.15508,0.79524,0.0005612,0.0005612,0.0005612
111,898.189,0.26368,0.21773,0.90196,0.99962,1,0.995,0.98086,0.20758,0.15915,0.80298,0.000548,0.000548,0.000548
112,906.054,0.26268,0.2188,0.88909,0.99973,1,0.995,0.98475,0.19535,0.14869,0.79336,0.0005348,0.0005348,0.0005348
113,914.074,0.24333,0.19951,0.88777,0.99969,1,0.995,0.98727,0.18393,0.14479,0.7903,0.0005216,0.0005216,0.0005216
114,922.089,0.26002,0.20521,0.89515,0.9997,1,0.995,0.98609,0.19995,0.15105,0.79793,0.0005084,0.0005084,0.0005084
115,930.302,0.25302,0.20253,0.89413,0.99969,1,0.995,0.98789,0.18552,0.14695,0.7926,0.0004952,0.0004952,0.0004952
116,938.271,0.24552,0.2062,0.87811,0.99966,1,0.995,0.98764,0.18154,0.14551,0.79042,0.000482,0.000482,0.000482
117,946.107,0.24902,0.20771,0.88706,0.99928,1,0.995,0.98467,0.18632,0.14498,0.79324,0.0004688,0.0004688,0.0004688
118,954.036,0.24968,0.2056,0.88321,0.99834,1,0.995,0.98796,0.17197,0.14063,0.783,0.0004556,0.0004556,0.0004556
119,962.137,0.22703,0.19617,0.87385,0.99967,1,0.995,0.98821,0.17383,0.14271,0.77926,0.0004424,0.0004424,0.0004424
120,970.199,0.23483,0.19797,0.88063,0.99958,1,0.995,0.98856,0.17249,0.14334,0.78,0.0004292,0.0004292,0.0004292
121,978.204,0.25926,0.212,0.89206,1,0.9993,0.995,0.98768,0.18303,0.14853,0.78287,0.000416,0.000416,0.000416
122,986.187,0.24117,0.19481,0.88541,0.99941,1,0.995,0.98762,0.17817,0.14019,0.78279,0.0004028,0.0004028,0.0004028
123,994.307,0.22978,0.19149,0.8849,0.9997,1,0.995,0.98779,0.17438,0.13407,0.78135,0.0003896,0.0003896,0.0003896
